station_id,month,day,temperature,flag,date,city
USC00042319,03,26,71.1,S,0000-03-26,Death Valley
USC00042319,03,27,71.3,S,0000-03-27,Death Valley
USC00042319,03,28,71.5,S,0000-03-28,Death Valley
USC00042319,03,29,71.7,S,0000-03-29,Death Valley
USC00042319,03,30,71.9,S,0000-03-30,Death Valley
USC00042319,03,31,72.2,S,0000-03-31,Death Valley
USC00042319,04,1,72.4,S,0000-04-01,Death Valley
USC00042319,04,2,72.6,S,0000-04-02,Death Valley
USC00042319,04,3,72.8,S,0000-04-03,Death Valley
USC00042319,04,4,73.1,S,0000-04-04,Death Valley
USC00042319,04,5,73.3,S,0000-04-05,Death Valley
USC00042319,04,6,73.5,S,0000-04-06,Death Valley
USC00042319,04,7,73.8,S,0000-04-07,Death Valley
USC00042319,04,8,74,S,0000-04-08,Death Valley
USC00042319,04,9,74.3,S,0000-04-09,Death Valley
USC00042319,04,10,74.5,S,0000-04-10,Death Valley
USC00042319,04,11,74.8,S,0000-04-11,Death Valley
USC00042319,04,12,75.1,S,0000-04-12,Death Valley
USC00042319,04,13,75.3,S,0000-04-13,Death Valley
USC00042319,04,14,75.6,S,0000-04-14,Death Valley
USC00042319,04,15,75.9,S,0000-04-15,Death Valley
USC00042319,04,16,76.2,S,0000-04-16,Death Valley
USC00042319,04,17,76.5,S,0000-04-17,Death Valley
USC00042319,04,18,76.8,S,0000-04-18,Death Valley
USC00042319,04,19,77.1,S,0000-04-19,Death Valley
USC00042319,04,20,77.5,S,0000-04-20,Death Valley
USC00042319,04,21,77.8,S,0000-04-21,Death Valley
USC00042319,04,22,78.1,S,0000-04-22,Death Valley
USC00042319,04,23,78.5,S,0000-04-23,Death Valley
USC00042319,04,24,78.8,S,0000-04-24,Death Valley
USC00042319,04,25,79.2,S,0000-04-25,Death Valley
USC00042319,04,26,79.5,S,0000-04-26,Death Valley
USC00042319,04,27,79.9,S,0000-04-27,Death Valley
USC00042319,04,28,80.3,S,0000-04-28,Death Valley
USC00042319,04,29,80.6,S,0000-04-29,Death Valley
USC00042319,04,30,81,S,0000-04-30,Death Valley
USC00042319,05,1,81.4,R,0000-05-01,Death Valley
USC00042319,05,2,81.7,R,0000-05-02,Death Valley
USC00042319,05,3,82.1,R,0000-05-03,Death Valley
USC00042319,05,4,82.5,R,0000-05-04,Death Valley
USC00042319,05,5,82.9,R,0000-05-05,Death Valley
USC00042319,05,6,83.2,R,0000-05-06,Death Valley
USC00042319,05,7,83.6,R,0000-05-07,Death Valley
USC00042319,05,8,84,R,0000-05-08,Death Valley
USC00042319,05,9,84.3,R,0000-05-09,Death Valley
USC00042319,05,10,84.7,R,0000-05-10,Death Valley
USC00042319,05,11,85.1,R,0000-05-11,Death Valley
USC00042319,05,12,85.4,R,0000-05-12,Death Valley
USC00042319,05,13,85.8,R,0000-05-13,Death Valley
USC00042319,05,14,86.1,R,0000-05-14,Death Valley
USC00042319,05,15,86.4,R,0000-05-15,Death Valley
USC00042319,05,16,86.8,R,0000-05-16,Death Valley
USC00042319,05,17,87.1,R,0000-05-17,Death Valley
USC00042319,05,18,87.4,R,0000-05-18,Death Valley
USC00042319,05,19,87.8,R,0000-05-19,Death Valley
USC00042319,05,20,88.1,R,0000-05-20,Death Valley
USC00042319,05,21,88.4,R,0000-05-21,Death Valley
USC00042319,05,22,88.7,R,0000-05-22,Death Valley
USC00042319,05,23,89,R,0000-05-23,Death Valley
USC00042319,05,24,89.3,R,0000-05-24,Death Valley
USC00042319,05,25,89.6,R,0000-05-25,Death Valley
USC00042319,05,26,89.9,R,0000-05-26,Death Valley
USC00042319,05,27,90.1,R,0000-05-27,Death Valley
USC00042319,05,28,90.4,R,0000-05-28,Death Valley
USC00042319,05,29,90.7,R,0000-05-29,Death Valley
USC00042319,05,30,91,R,0000-05-30,Death Valley
USC00042319,05,31,91.3,R,0000-05-31,Death Valley
USC00042319,06,1,91.5,R,0000-06-01,Death Valley
USC00042319,06,2,91.8,R,0000-06-02,Death Valley
USC00042319,06,3,92.1,R,0000-06-03,Death Valley
USC00042319,06,4,92.3,R,0000-06-04,Death Valley
USC00042319,06,5,92.6,R,0000-06-05,Death Valley
USC00042319,06,6,92.9,R,0000-06-06,Death Valley
USC00042319,06,7,93.1,R,0000-06-07,Death Valley
USC00042319,06,8,93.4,R,0000-06-08,Death Valley
USC00042319,06,9,93.7,R,0000-06-09,Death Valley
USC00042319,06,10,94,R,0000-06-10,Death Valley
USC00042319,06,11,94.2,R,0000-06-11,Death Valley
USC00042319,06,12,94.5,R,0000-06-12,Death Valley
USC00042319,06,13,94.8,R,0000-06-13,Death Valley
USC00042319,06,14,95.1,R,0000-06-14,Death Valley
USC00042319,06,15,95.4,R,0000-06-15,Death Valley
USC00042319,06,16,95.7,R,0000-06-16,Death Valley
USC00042319,06,17,95.9,R,0000-06-17,Death Valley
USC00042319,06,18,96.2,R,0000-06-18,Death Valley
USC00042319,06,19,96.5,R,0000-06-19,Death Valley
USC00042319,06,20,96.8,R,0000-06-20,Death Valley
USC00042319,06,21,97.1,R,0000-06-21,Death Valley
USC00042319,06,22,97.4,R,0000-06-22,Death Valley
USC00042319,06,23,97.7,R,0000-06-23,Death Valley
USC00042319,06,24,98,R,0000-06-24,Death Valley
USC00042319,06,25,98.3,R,0000-06-25,Death Valley
USC00042319,06,26,98.5,R,0000-06-26,Death Valley
USC00042319,06,27,98.8,R,0000-06-27,Death Valley
USC00042319,06,28,99.1,R,0000-06-28,Death Valley
USC00042319,06,29,99.4,R,0000-06-29,Death Valley
USC00042319,06,30,99.6,R,0000-06-30,Death Valley
USC00042319,07,1,99.9,R,0000-07-01,Death Valley
USC00042319,07,2,100.2,R,0000-07-02,Death Valley
USC00042319,07,3,100.4,R,0000-07-03,Death Valley
USC00042319,07,4,100.6,R,0000-07-04,Death Valley
USC00042319,07,5,100.9,R,0000-07-05,Death Valley
USC00042319,07,6,101.1,R,0000-07-06,Death Valley
USC00042319,07,7,101.3,R,0000-07-07,Death Valley
USC00042319,07,8,101.5,R,0000-07-08,Death Valley
USC00042319,07,9,101.7,R,0000-07-09,Death Valley
USC00042319,07,10,101.9,R,0000-07-10,Death Valley
USC00042319,07,11,102.1,R,0000-07-11,Death Valley
USC00042319,07,12,102.2,R,0000-07-12,Death Valley
USC00042319,07,13,102.4,R,0000-07-13,Death Valley
USC00042319,07,14,102.5,R,0000-07-14,Death Valley
USC00042319,07,15,102.6,R,0000-07-15,Death Valley
USC00042319,07,16,102.8,R,0000-07-16,Death Valley
USC00042319,07,17,102.9,R,0000-07-17,Death Valley
USC00042319,07,18,102.9,R,0000-07-18,Death Valley
USC00042319,07,19,103,R,0000-07-19,Death Valley
USC00042319,07,20,103.1,R,0000-07-20,Death Valley
USC00042319,07,21,103.1,R,0000-07-21,Death Valley
USC00042319,07,22,103.1,R,0000-07-22,Death Valley
USC00042319,07,23,103.1,R,0000-07-23,Death Valley
USC00042319,07,24,103.2,R,0000-07-24,Death Valley
USC00042319,07,25,103.1,R,0000-07-25,Death Valley
USC00042319,07,26,103.1,R,0000-07-26,Death Valley
USC00042319,07,27,103.1,R,0000-07-27,Death Valley
USC00042319,07,28,103,R,0000-07-28,Death Valley
USC00042319,07,29,103,R,0000-07-29,Death Valley
USC00042319,07,30,102.9,R,0000-07-30,Death Valley
USC00042319,07,31,102.8,R,0000-07-31,Death Valley
USC00042319,08,1,102.7,R,0000-08-01,Death Valley
USC00042319,08,2,102.6,R,0000-08-02,Death Valley
USC00042319,08,3,102.5,R,0000-08-03,Death Valley
USC00042319,08,4,102.4,R,0000-08-04,Death Valley
USC00042319,08,5,102.3,R,0000-08-05,Death Valley
USC00042319,08,6,102.2,R,0000-08-06,Death Valley
USC00042319,08,7,102,R,0000-08-07,Death Valley
USC00042319,08,8,101.9,R,0000-08-08,Death Valley
USC00042319,08,9,101.7,R,0000-08-09,Death Valley
USC00042319,08,10,101.5,R,0000-08-10,Death Valley
USC00042319,08,11,101.4,R,0000-08-11,Death Valley
USC00042319,08,12,101.2,R,0000-08-12,Death Valley
USC00042319,08,13,101,R,0000-08-13,Death Valley
USC00042319,08,14,100.8,R,0000-08-14,Death Valley
USC00042319,08,15,100.6,R,0000-08-15,Death Valley
USC00042319,08,16,100.4,R,0000-08-16,Death Valley
USC00042319,08,17,100.2,R,0000-08-17,Death Valley
USC00042319,08,18,100,R,0000-08-18,Death Valley
USC00042319,08,19,99.8,R,0000-08-19,Death Valley
USC00042319,08,20,99.6,R,0000-08-20,Death Valley
USC00042319,08,21,99.4,R,0000-08-21,Death Valley
USC00042319,08,22,99.1,R,0000-08-22,Death Valley
USC00042319,08,23,98.9,R,0000-08-23,Death Valley
USC00042319,08,24,98.6,R,0000-08-24,Death Valley
USC00042319,08,25,98.4,R,0000-08-25,Death Valley
USC00042319,08,26,98.1,R,0000-08-26,Death Valley
USC00042319,08,27,97.9,R,0000-08-27,Death Valley
USC00042319,08,28,97.6,R,0000-08-28,Death Valley
USC00042319,08,29,97.3,R,0000-08-29,Death Valley
USC00042319,08,30,97.1,R,0000-08-30,Death Valley
USC00042319,08,31,96.8,R,0000-08-31,Death Valley
USC00042319,09,1,96.5,R,0000-09-01,Death Valley
USC00042319,09,2,96.2,R,0000-09-02,Death Valley
USC00042319,09,3,95.9,R,0000-09-03,Death Valley
USC00042319,09,4,95.6,R,0000-09-04,Death Valley
USC00042319,09,5,95.2,R,0000-09-05,Death Valley
USC00042319,09,6,94.9,R,0000-09-06,Death Valley
USC00042319,09,7,94.6,R,0000-09-07,Death Valley
USC00042319,09,8,94.2,R,0000-09-08,Death Valley
USC00042319,09,9,93.8,R,0000-09-09,Death Valley
USC00042319,09,10,93.5,R,0000-09-10,Death Valley
USC00042319,09,11,93.1,R,0000-09-11,Death Valley
USC00042319,09,12,92.7,R,0000-09-12,Death Valley
USC00042319,09,13,92.3,R,0000-09-13,Death Valley
USC00042319,09,14,91.9,R,0000-09-14,Death Valley
USC00042319,09,15,91.5,R,0000-09-15,Death Valley
USC00042319,09,16,91.1,R,0000-09-16,Death Valley
USC00042319,09,17,90.7,R,0000-09-17,Death Valley
USC00042319,09,18,90.3,R,0000-09-18,Death Valley
USC00042319,09,19,89.8,R,0000-09-19,Death Valley
USC00042319,09,20,89.4,R,0000-09-20,Death Valley
USC00042319,09,21,88.9,R,0000-09-21,Death Valley
USC00042319,09,22,88.5,R,0000-09-22,Death Valley
USC00042319,09,23,88,R,0000-09-23,Death Valley
USC00042319,09,24,87.6,R,0000-09-24,Death Valley
USC00042319,09,25,87.1,R,0000-09-25,Death Valley
USC00042319,09,26,86.6,R,0000-09-26,Death Valley
USC00042319,09,27,86.1,R,0000-09-27,Death Valley
USC00042319,09,28,85.7,R,0000-09-28,Death Valley
USC00042319,09,29,85.2,R,0000-09-29,Death Valley
USC00042319,09,30,84.7,R,0000-09-30,Death Valley
USC00042319,10,1,84.2,S,0000-10-01,Death Valley
USC00042319,10,2,83.7,S,0000-10-02,Death Valley
USC00042319,10,3,83.3,S,0000-10-03,Death Valley
USC00042319,10,4,82.8,S,0000-10-04,Death Valley
USC00042319,10,5,82.3,S,0000-10-05,Death Valley
USC00042319,10,6,81.8,S,0000-10-06,Death Valley
USC00042319,10,7,81.3,S,0000-10-07,Death Valley
USC00042319,10,8,80.9,S,0000-10-08,Death Valley
USC00042319,10,9,80.4,S,0000-10-09,Death Valley
USC00042319,10,10,79.9,S,0000-10-10,Death Valley
USC00042319,10,11,79.4,S,0000-10-11,Death Valley
USC00042319,10,12,79,S,0000-10-12,Death Valley
USC00042319,10,13,78.5,S,0000-10-13,Death Valley
USC00042319,10,14,78,S,0000-10-14,Death Valley
USC00042319,10,15,77.6,S,0000-10-15,Death Valley
USC00042319,10,16,77.1,S,0000-10-16,Death Valley
USC00042319,10,17,76.6,S,0000-10-17,Death Valley
USC00042319,10,18,76.2,S,0000-10-18,Death Valley
USC00042319,10,19,75.7,S,0000-10-19,Death Valley
USC00042319,10,20,75.3,S,0000-10-20,Death Valley
USC00042319,10,21,74.8,S,0000-10-21,Death Valley
USC00042319,10,22,74.3,S,0000-10-22,Death Valley
USC00042319,10,23,73.9,S,0000-10-23,Death Valley
USC00042319,10,24,73.4,S,0000-10-24,Death Valley
USC00042319,10,25,73,S,0000-10-25,Death Valley
USC00042319,10,26,72.5,S,0000-10-26,Death Valley
USC00042319,10,27,72.1,S,0000-10-27,Death Valley
USC00042319,10,28,71.6,S,0000-10-28,Death Valley
USC00042319,10,29,71.1,S,0000-10-29,Death Valley
USC00042319,10,30,70.7,S,0000-10-30,Death Valley
USC00042319,10,31,70.2,S,0000-10-31,Death Valley
USC00042319,11,1,69.7,S,0000-11-01,Death Valley
USC00042319,11,2,69.3,S,0000-11-02,Death Valley
USC00042319,11,3,68.8,S,0000-11-03,Death Valley
USC00042319,11,4,68.3,S,0000-11-04,Death Valley
USC00042319,11,5,67.8,S,0000-11-05,Death Valley
USC00042319,11,6,67.3,S,0000-11-06,Death Valley
USC00042319,11,7,66.9,S,0000-11-07,Death Valley
USC00042319,11,8,66.4,S,0000-11-08,Death Valley
USC00042319,11,9,65.9,S,0000-11-09,Death Valley
USC00042319,11,10,65.4,S,0000-11-10,Death Valley
USC00042319,11,11,64.9,S,0000-11-11,Death Valley
USC00042319,11,12,64.4,S,0000-11-12,Death Valley
USC00042319,11,13,63.9,S,0000-11-13,Death Valley
USC00042319,11,14,63.3,S,0000-11-14,Death Valley
USC00042319,11,15,62.8,S,0000-11-15,Death Valley
USC00042319,11,16,62.3,S,0000-11-16,Death Valley
USC00042319,11,17,61.8,S,0000-11-17,Death Valley
USC00042319,11,18,61.3,S,0000-11-18,Death Valley
USC00042319,11,19,60.8,S,0000-11-19,Death Valley
USC00042319,11,20,60.3,S,0000-11-20,Death Valley
USC00042319,11,21,59.8,S,0000-11-21,Death Valley
USC00042319,11,22,59.3,S,0000-11-22,Death Valley
USC00042319,11,23,58.8,S,0000-11-23,Death Valley
USC00042319,11,24,58.3,S,0000-11-24,Death Valley
USC00042319,11,25,57.9,S,0000-11-25,Death Valley
USC00042319,11,26,57.4,S,0000-11-26,Death Valley
USC00042319,11,27,56.9,S,0000-11-27,Death Valley
USC00042319,11,28,56.5,S,0000-11-28,Death Valley
USC00042319,11,29,56,S,0000-11-29,Death Valley
USC00042319,11,30,55.6,S,0000-11-30,Death Valley
USC00042319,12,1,55.2,S,0000-12-01,Death Valley
USC00042319,12,2,54.8,S,0000-12-02,Death Valley
USC00042319,12,3,54.4,S,0000-12-03,Death Valley
USC00042319,12,4,54,S,0000-12-04,Death Valley
USC00042319,12,5,53.7,S,0000-12-05,Death Valley
USC00042319,12,6,53.3,S,0000-12-06,Death Valley
USC00042319,12,7,53,S,0000-12-07,Death Valley
USC00042319,12,8,52.7,S,0000-12-08,Death Valley
USC00042319,12,9,52.4,S,0000-12-09,Death Valley
USC00042319,12,10,52.2,S,0000-12-10,Death Valley
USC00042319,12,11,51.9,S,0000-12-11,Death Valley
USC00042319,12,12,51.7,S,0000-12-12,Death Valley
USC00042319,12,13,51.5,S,0000-12-13,Death Valley
USC00042319,12,14,51.3,S,0000-12-14,Death Valley
USC00042319,12,15,51.1,S,0000-12-15,Death Valley
USC00042319,12,16,51,S,0000-12-16,Death Valley
USC00042319,12,17,50.9,S,0000-12-17,Death Valley
USC00042319,12,18,50.8,S,0000-12-18,Death Valley
USC00042319,12,19,50.7,S,0000-12-19,Death Valley
USC00042319,12,20,50.6,S,0000-12-20,Death Valley
USC00042319,12,21,50.6,S,0000-12-21,Death Valley
USC00042319,12,22,50.5,S,0000-12-22,Death Valley
USC00042319,12,23,50.5,S,0000-12-23,Death Valley
USC00042319,12,24,50.5,S,0000-12-24,Death Valley
USC00042319,12,25,50.5,S,0000-12-25,Death Valley
USC00042319,12,26,50.6,S,0000-12-26,Death Valley
USC00042319,12,27,50.6,S,0000-12-27,Death Valley
USC00042319,12,28,50.7,S,0000-12-28,Death Valley
USC00042319,12,29,50.8,S,0000-12-29,Death Valley
USC00042319,12,30,50.8,S,0000-12-30,Death Valley
USC00042319,12,31,50.9,S,0000-12-31,Death Valley
USC00516128,01,1,70.4,C,0000-01-01,Honolulu
USC00516128,01,2,70.3,C,0000-01-02,Honolulu
USC00516128,01,3,70.3,C,0000-01-03,Honolulu
USC00516128,01,4,70.3,C,0000-01-04,Honolulu
USC00516128,01,5,70.2,C,0000-01-05,Honolulu
USC00516128,01,6,70.2,C,0000-01-06,Honolulu
USC00516128,01,7,70.1,C,0000-01-07,Honolulu
USC00516128,01,8,70.1,C,0000-01-08,Honolulu
USC00516128,01,9,70.1,C,0000-01-09,Honolulu
USC00516128,01,10,70,C,0000-01-10,Honolulu
USC00516128,01,11,70,C,0000-01-11,Honolulu
USC00516128,01,12,70,C,0000-01-12,Honolulu
USC00516128,01,13,70,C,0000-01-13,Honolulu
USC00516128,01,14,69.9,C,0000-01-14,Honolulu
USC00516128,01,15,69.9,C,0000-01-15,Honolulu
USC00516128,01,16,69.9,C,0000-01-16,Honolulu
USC00516128,01,17,69.9,C,0000-01-17,Honolulu
USC00516128,01,18,69.9,C,0000-01-18,Honolulu
USC00516128,01,19,69.8,C,0000-01-19,Honolulu
USC00516128,01,20,69.8,C,0000-01-20,Honolulu
USC00516128,01,21,69.8,C,0000-01-21,Honolulu
USC00516128,01,22,69.8,C,0000-01-22,Honolulu
USC00516128,01,23,69.8,C,0000-01-23,Honolulu
USC00516128,01,24,69.8,C,0000-01-24,Honolulu
USC00516128,01,25,69.8,C,0000-01-25,Honolulu
USC00516128,01,26,69.7,C,0000-01-26,Honolulu
USC00516128,01,27,69.7,C,0000-01-27,Honolulu
USC00516128,01,28,69.7,C,0000-01-28,Honolulu
USC00516128,01,29,69.7,C,0000-01-29,Honolulu
USC00516128,01,30,69.7,C,0000-01-30,Honolulu
USC00516128,01,31,69.7,C,0000-01-31,Honolulu
USC00516128,02,1,69.7,S,0000-02-01,Honolulu
USC00516128,02,2,69.7,S,0000-02-02,Honolulu
USC00516128,02,3,69.7,S,0000-02-03,Honolulu
USC00516128,02,4,69.7,S,0000-02-04,Honolulu
USC00516128,02,5,69.7,S,0000-02-05,Honolulu
USC00516128,02,6,69.7,S,0000-02-06,Honolulu
USC00516128,02,7,69.7,S,0000-02-07,Honolulu
USC00516128,02,8,69.7,S,0000-02-08,Honolulu
USC00516128,02,9,69.8,S,0000-02-09,Honolulu
USC00516128,02,10,69.8,S,0000-02-10,Honolulu
USC00516128,02,11,69.8,S,0000-02-11,Honolulu
USC00516128,02,12,69.8,S,0000-02-12,Honolulu
USC00516128,02,13,69.8,S,0000-02-13,Honolulu
USC00516128,02,14,69.8,S,0000-02-14,Honolulu
USC00516128,02,15,69.8,S,0000-02-15,Honolulu
USC00516128,02,16,69.8,S,0000-02-16,Honolulu
USC00516128,02,17,69.9,S,0000-02-17,Honolulu
USC00516128,02,18,69.9,S,0000-02-18,Honolulu
USC00516128,02,19,69.9,S,0000-02-19,Honolulu
USC00516128,02,20,69.9,S,0000-02-20,Honolulu
USC00516128,02,21,69.9,S,0000-02-21,Honolulu
USC00516128,02,22,70,S,0000-02-22,Honolulu
USC00516128,02,23,70,S,0000-02-23,Honolulu
USC00516128,02,24,70,S,0000-02-24,Honolulu
USC00516128,02,25,70,S,0000-02-25,Honolulu
USC00516128,02,26,70,S,0000-02-26,Honolulu
USC00516128,02,27,70.1,S,0000-02-27,Honolulu
USC00516128,02,28,70.1,S,0000-02-28,Honolulu
USC00516128,02,29,70.1,S,0000-02-29,Honolulu
USC00516128,03,1,70.1,C,0000-03-01,Honolulu
USC00516128,03,2,70.1,C,0000-03-02,Honolulu
USC00516128,03,3,70.2,C,0000-03-03,Honolulu
USC00516128,03,4,70.2,C,0000-03-04,Honolulu
USC00516128,03,5,70.2,C,0000-03-05,Honolulu
USC00516128,03,6,70.2,C,0000-03-06,Honolulu
USC00516128,03,7,70.2,C,0000-03-07,Honolulu
USC00516128,03,8,70.3,C,0000-03-08,Honolulu
USC00516128,03,9,70.3,C,0000-03-09,Honolulu
USC00516128,03,10,70.3,C,0000-03-10,Honolulu
USC00516128,03,11,70.3,C,0000-03-11,Honolulu
USC00516128,03,12,70.3,C,0000-03-12,Honolulu
USC00516128,03,13,70.3,C,0000-03-13,Honolulu
USC00516128,03,14,70.4,C,0000-03-14,Honolulu
USC00516128,03,15,70.4,C,0000-03-15,Honolulu
USC00516128,03,16,70.4,C,0000-03-16,Honolulu
USC00516128,03,17,70.4,C,0000-03-17,Honolulu
USC00516128,03,18,70.4,C,0000-03-18,Honolulu
USC00516128,03,19,70.4,C,0000-03-19,Honolulu
USC00516128,03,20,70.4,C,0000-03-20,Honolulu
USC00516128,03,21,70.4,C,0000-03-21,Honolulu
USC00516128,03,22,70.4,C,0000-03-22,Honolulu
USC00516128,03,23,70.4,C,0000-03-23,Honolulu
USC00516128,03,24,70.5,C,0000-03-24,Honolulu
USC00516128,03,25,70.5,C,0000-03-25,Honolulu
USC00516128,03,26,70.5,C,0000-03-26,Honolulu
USC00516128,03,27,70.5,C,0000-03-27,Honolulu
USC00516128,03,28,70.5,C,0000-03-28,Honolulu
USC00516128,03,29,70.5,C,0000-03-29,Honolulu
USC00516128,03,30,70.5,C,0000-03-30,Honolulu
USC00516128,03,31,70.5,C,0000-03-31,Honolulu
USC00516128,04,1,70.5,C,0000-04-01,Honolulu
USC00516128,04,2,70.5,C,0000-04-02,Honolulu
USC00516128,04,3,70.5,C,0000-04-03,Honolulu
USC00516128,04,4,70.5,C,0000-04-04,Honolulu
USC00516128,04,5,70.5,C,0000-04-05,Honolulu
USC00516128,04,6,70.5,C,0000-04-06,Honolulu
USC00516128,04,7,70.5,C,0000-04-07,Honolulu
USC00516128,04,8,70.5,C,0000-04-08,Honolulu
USC00516128,04,9,70.5,C,0000-04-09,Honolulu
USC00516128,04,10,70.6,C,0000-04-10,Honolulu
USC00516128,04,11,70.6,C,0000-04-11,Honolulu
USC00516128,04,12,70.6,C,0000-04-12,Honolulu
USC00516128,04,13,70.6,C,0000-04-13,Honolulu
USC00516128,04,14,70.6,C,0000-04-14,Honolulu
USC00516128,04,15,70.7,C,0000-04-15,Honolulu
USC00516128,04,16,70.7,C,0000-04-16,Honolulu
USC00516128,04,17,70.7,C,0000-04-17,Honolulu
USC00516128,04,18,70.7,C,0000-04-18,Honolulu
USC00516128,04,19,70.8,C,0000-04-19,Honolulu
USC00516128,04,20,70.8,C,0000-04-20,Honolulu
USC00516128,04,21,70.8,C,0000-04-21,Honolulu
USC00516128,04,22,70.9,C,0000-04-22,Honolulu
USC00516128,04,23,70.9,C,0000-04-23,Honolulu
USC00516128,04,24,71,C,0000-04-24,Honolulu
USC00516128,04,25,71,C,0000-04-25,Honolulu
USC00516128,04,26,71.1,C,0000-04-26,Honolulu
USC00516128,04,27,71.1,C,0000-04-27,Honolulu
